route,location,url,avg_stars,route_type,rating,pitches,length,area_latitude,area_longitude,climbing_rating_complete,protection
Immaculate Deception,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762939/immaculate-deception,1.5,"Trad, Sport",5.10c,2.0,180.0,39.99654,-105.41685,10.3,G
Mystic Mile,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761247/mystic-mile,2.6,Sport,5.10c,2.0,190.0,39.99654,-105.41685,10.3,G
Lightspeed,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762153/lightspeed,2.3,Sport,5.10d,1.0,60.0,39.99654,-105.41685,10.4,G
Wings of Desire,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762156/wings-of-desire,2.4,Sport,5.11b,1.0,160.0,39.99654,-105.41685,11.2,G
Mind Bender,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762798/mind-bender,2.7,Sport,5.11c/d,1.0,80.0,39.99654,-105.41685,11.35,G
MLK,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760902/mlk,2.7,"Trad, Sport",5.12a,1.0,105.0,39.99654,-105.41685,12.1,G
Aerial Boundaries,Main Wall > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761037/aerial-boundaries,2.4,"Sport, Aid",5.12a/b A0,1.0,120.0,39.99654,-105.41685,12.15,G
The Wizard of Moss,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113348035/the-wizard-of-moss,1.5,Sport,5.10-,1.0,120.0,39.9969,-105.41707,10.15,G
Lost Highway,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762813/lost-highway,2.4,Sport,5.10c,3.0,200.0,39.9969,-105.41707,10.3,G
Cheech and Choss,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113348137/cheech-and-choss,3.0,Sport,5.10+,1.0,,39.9969,-105.41707,10.35,G
Sleepwalkin',Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113377991/sleepwalkin,2.5,Sport,5.11-,1.0,,39.9969,-105.41707,11.15,G
Orgasmatron,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105847492/orgasmatron,3.0,Sport,5.11b,1.0,90.0,39.9969,-105.41707,11.2,G
Avalon World AKA Chong's Biway,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113348098/avalon-world-aka-chongs-biway,2.0,Sport,5.11,1.0,,39.9969,-105.41707,11.0,G
Cross Your Mind,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/112154263/cross-your-mind,2.7,Sport,5.12a/b,1.0,60.0,39.9969,-105.41707,12.15,G
Sweeping Beauty,Lost Highway Area > Sleeping Beauty > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113348019/sweeping-beauty,4.0,Sport,5.12a/b,1.0,90.0,39.9969,-105.41707,12.15,G
Ziggurat,Tower of Babel > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760917/ziggurat,1.3,Sport,5.11a,1.0,90.0,40.0036,-105.4074,11.1,G
Unknown,Tower of Babel > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/108142317/unknown,2.0,Sport,5.11b/c,1.0,,40.0036,-105.4074,11.25,G
Babylon is Burning,Tower of Babel > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/108142287/babylon-is-burning,2.0,"Trad, Sport",5.12a,1.0,,40.0036,-105.4074,12.1,G
Magic Wand,Wizard Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761073/magic-wand,2.1,Sport,5.7+,1.0,80.0,39.9991,-105.4111,7.35,G
Way of the Wizard,Wizard Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761373/way-of-the-wizard,1.4,Sport,5.8,1.0,70.0,39.9991,-105.4111,8.0,G
Christal Ball,Wizard Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761070/christal-ball,1.6,Sport,5.9-,1.0,70.0,39.9991,-105.4111,9.15,G
Snow Crash,Wizard Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761076/snow-crash,1.9,Sport,5.10b,1.0,80.0,39.9991,-105.4111,10.2,G
Don't Get Me Started,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761163/dont-get-me-started,1.6,Sport,5.6,1.0,70.0,40.0001,-105.4125,6.0,G
Start Me Up,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761160/start-me-up,1.7,Sport,5.7,1.0,70.0,40.0001,-105.4125,7.0,G
Right Line,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761142/right-line,1.5,Sport,5.8,1.0,50.0,40.0001,-105.4125,8.0,G
Left Line,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761145/left-line,1.7,Sport,5.8,1.0,60.0,40.0001,-105.4125,8.0,G
Just End It,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/120661686/just-end-it,1.7,Sport,5.8,1.0,70.0,40.0001,-105.4125,8.0,G
The Luminosity,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761157/the-luminosity,3.0,Sport,5.9,1.0,85.0,40.0001,-105.4125,9.0,G
Contact,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761214/contact,2.2,Sport,5.9,2.0,130.0,40.0001,-105.4125,9.0,G
Mission To Mars,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761148/mission-to-mars,1.6,"Trad, Sport",5.10a,1.0,40.0,40.0001,-105.4125,10.1,G
Twilight Zone,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762546/twilight-zone,2.6,Sport,5.10a/b,1.0,50.0,40.0001,-105.4125,10.15,G
Tower of Power,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761154/tower-of-power,2.6,Sport,5.10b,1.0,80.0,40.0001,-105.4125,10.2,G
Fawkes and the Pilot,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/121599865/fawkes-and-the-pilot,2.0,Sport,5.10b/c,1.0,65.0,40.0001,-105.4125,10.25,G
Cosmic Explorer,Solaris > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761079/cosmic-explorer,2.3,Sport,5.11c,1.0,50.0,40.0001,-105.4125,11.3,G
Pesky,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/112569243/pesky,1.3,Sport,5.8,1.0,90.0,39.97727,-105.45706,8.0,G
Code Red,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/117280991/code-red,2.5,Sport,5.12b,1.0,60.0,39.97727,-105.45706,12.2,G
Sin Gaz,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/108244424/sin-gaz,2.4,Sport,5.12c/d,1.0,60.0,39.97727,-105.45706,12.35,G
Sinopia,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761358/sinopia,2.9,Sport,5.13a,1.0,60.0,39.97727,-105.45706,13.1,G
Van Damage,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/107345416/van-damage,2.9,Sport,5.13a/b,1.0,45.0,39.97727,-105.45706,13.15,G
The Orb,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761355/the-orb,2.8,Sport,5.13b,1.0,40.0,39.97727,-105.45706,13.2,G
Double Impact,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/111001178/double-impact,2.8,Sport,5.13b,1.0,45.0,39.97727,-105.45706,13.2,G
Rumors of Glory,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106019273/rumors-of-glory,2.5,Sport,5.13b,1.0,30.0,39.97727,-105.45706,13.2,G
The McDavid Bro Sesh (aka Bro Sesh),Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/114780228/the-mcdavid-bro-sesh-aka-bro-sesh,2.7,Sport,5.13c,1.0,45.0,39.97727,-105.45706,13.3,G
Con Gaz,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/112121427/con-gaz,2.3,Sport,5.13c,1.0,40.0,39.97727,-105.45706,13.3,G
The Borg,Frisky Cliff > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105763020/the-borg,2.0,Sport,5.13c,1.0,70.0,39.97727,-105.45706,13.3,G
Romancing the Stone,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764586/romancing-the-stone,2.2,"Trad, Sport",5.9,1.0,80.0,40.0022,-105.395,9.0,G
Tese,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764685/tese,3.0,Sport,5.10-,1.0,100.0,40.0022,-105.395,10.15,G
No Direction Home,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764709/no-direction-home,2.6,Sport,5.11a/b,1.0,95.0,40.0022,-105.395,11.15,G
War is Love,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764715/war-is-love,1.9,Sport,5.11,1.0,70.0,40.0022,-105.395,11.0,G
Panic Attack (AKA BOB...Bombs Over Baghdad)),Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106197491/panic-attack-aka-bobbombs-over-baghdad,2.3,Sport,5.12a,1.0,80.0,40.0022,-105.395,12.1,G
Tipskin Jihad,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106187188/tipskin-jihad,1.8,Sport,5.12b,1.0,45.0,40.0022,-105.395,12.2,G
Teenage Terrorists,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105856439/teenage-terrorists,1.8,Sport,5.12b,1.0,50.0,40.0022,-105.395,12.2,G
Griffon,Trout Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764562/griffon,1.7,Sport,5.10a,1.0,35.0,39.9969,-105.4161,10.1,G
Greenback,Trout Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764571/greenback,1.5,Sport,5.10b,1.0,45.0,39.9969,-105.4161,10.2,G
Cutthroat,Trout Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764568/cutthroat,1.4,"Trad, Sport",5.10c,1.0,45.0,39.9969,-105.4161,10.3,G
No Man is an Island,Island Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764673/no-man-is-an-island,1.8,Sport,5.11a,1.0,70.0,40.003,-105.3601,11.1,G
Miss Mantle,Island Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105847508/miss-mantle,2.5,Sport,5.11,1.0,50.0,40.003,-105.3601,11.0,G
Myth of Freedom,Myth Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764826/myth-of-freedom,1.9,Sport,5.10b,1.0,70.0,39.9989,-105.4133,10.2,G
Mjolnir,Myth Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764682/mjolnir,2.9,Sport,5.10c,1.0,,39.9989,-105.4133,10.3,G
Excalibur,Myth Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764781/excalibur,2.3,Sport,5.11b,2.0,80.0,39.9989,-105.4133,11.2,G
Thor,Myth Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764880/thor,1.3,Sport,5.11+,1.0,40.0,39.9989,-105.4133,11.35,G
Transylvania,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105827022/transylvania,,"Trad, Sport",5.11,1.0,70.0,39.9796,-105.4539,11.0,G
Louisville Slugger,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105816585/louisville-slugger,2.8,Sport,5.11b/c,1.0,60.0,39.9796,-105.4539,11.25,G
Philadelphia Flyer,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764889/philadelphia-flyer,2.3,"Trad, Sport",5.11b/c,1.0,60.0,39.9796,-105.4539,11.25,G
The Probe,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105842048/the-probe,1.3,Sport,5.11b/c,1.0,50.0,39.9796,-105.4539,11.25,G
Obscurity Risk,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106803069/obscurity-risk,2.9,Sport,5.12a,1.0,55.0,39.9796,-105.4539,12.1,G
Brenda from Kansas,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/107206087/brenda-from-kansas,3.0,"Trad, Sport",5.13b,1.0,50.0,39.9796,-105.4539,13.2,G
Super Ali Brenda,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/117321006/super-ali-brenda,2.0,Sport,5.13c,1.0,45.0,39.9796,-105.4539,13.3,G
Malia from B-town,The Overlook > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/121341352/malia-from-b-town,2.0,Sport,5.13c,1.0,50.0,39.9796,-105.4539,13.3,G
Face Off,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105975926/face-off,1.4,Sport,5.7,1.0,95.0,40.0038,-105.4058,7.0,G
Total Eclipse,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105968232/total-eclipse,2.4,Sport,5.10a,2.0,155.0,40.0038,-105.4058,10.1,G
Stayin' Alive,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105975956/stayin-alive,2.9,Sport,5.10a,2.0,185.0,40.0038,-105.4058,10.1,G
Up and Left - Lone Unknown Route,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/109283011/up-and-left-lone-unknown-route,2.0,Sport,5.10-,1.0,65.0,40.0038,-105.4058,10.15,G
Toe The Line,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105957789/toe-the-line,2.5,Sport,5.10b,2.0,180.0,40.0038,-105.4058,10.2,G
Tag Team,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105983024/tag-team,2.5,Sport,5.10+,2.0,115.0,40.0038,-105.4058,10.35,G
Sidekick,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105975428/sidekick,3.0,Sport,5.10d,2.0,150.0,40.0038,-105.4058,10.4,G
Generous Donation,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105960629/generous-donation,2.3,Sport,5.11a,1.0,80.0,40.0038,-105.4058,11.1,G
Hard Times,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105993694/hard-times,2.0,Sport,5.11c,1.0,90.0,40.0038,-105.4058,11.3,G
6H4D (6 Horses 4 Daisy),Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/119716794/6h4d-6-horses-4-daisy,2.0,Sport,5.13a,1.0,65.0,40.0038,-105.4058,13.1,G
Goodbye Horses,Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/119716979/goodbye-horses,3.0,Sport,5.13c,1.0,65.0,40.0038,-105.4058,13.3,G
Tree Line,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105996811/tree-line,1.5,Sport,5.8+,1.0,40.0,40.0041,-105.4061,8.35,G
Buried Treasure,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105988542/buried-treasure,2.7,Sport,5.9-,2.0,170.0,40.0041,-105.4061,9.15,G
Twilight Time,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105994585/twilight-time,1.9,Sport,5.9+,1.0,60.0,40.0041,-105.4061,9.35,G
Fields of Gold,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106028197/fields-of-gold,2.7,"Trad, Sport",5.10a,3.0,370.0,40.0041,-105.4061,10.1,G
The Twilight Kid,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106022527/the-twilight-kid,2.6,Sport,5.10c,1.0,90.0,40.0041,-105.4061,10.3,G
Bobby's Back,Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105996018/bobbys-back,1.5,Sport,5.10d,1.0,50.0,40.0041,-105.4061,10.4,G
Fine Fir,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029322/fine-fir,0.9,"Trad, Sport",5.7,1.0,65.0,40.0043,-105.4063,7.0,G
Border Crossing,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029367/border-crossing,1.7,"Trad, Sport",5.8-,2.0,200.0,40.0043,-105.4063,8.15,G
Just Do It,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029313/just-do-it,1.7,"Trad, Sport",5.8,1.0,65.0,40.0043,-105.4063,8.0,G
Crackdown,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029331/crackdown,1.6,"Trad, Sport",5.9,1.0,65.0,40.0043,-105.4063,9.0,G
Before The Deluge,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029327/before-the-deluge,1.3,Sport,5.10a,1.0,65.0,40.0043,-105.4063,10.1,G
The B Boys,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029688/the-b-boys,2.6,"Trad, Sport",5.10+,3.0,200.0,40.0043,-105.4063,10.35,G
Smooth Operator,The Garden > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106030074/smooth-operator,2.3,"Trad, Sport",5.11+,3.0,200.0,40.0043,-105.4063,11.35,G
Creekside Cruise,Creekside > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106038907/creekside-cruise,1.5,"Trad, Sport",5.7,1.0,90.0,40.0043,-105.4065,7.0,G
Curtain Call,Creekside > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106054717/curtain-call,2.0,"Trad, Sport",5.8+,2.0,210.0,40.0043,-105.4065,8.35,G
Spirit on the Water,Creekside > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106028524/spirit-on-the-water,2.3,"Trad, Sport",5.9,2.0,155.0,40.0043,-105.4065,9.0,G
Local Hero,Creekside > Tonnere Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106029592/local-hero,2.8,"Trad, Sport",5.10a,2.0,210.0,40.0043,-105.4065,10.1,G
Senior Discount,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794884/senior-discount,1.6,Sport,5.8,1.0,60.0,39.985,-105.4413,8.0,G
Second Career,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105815014/second-career,1.1,Sport,5.8,1.0,60.0,39.985,-105.4413,8.0,G
Fixed Income,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105803070/fixed-income,1.8,Sport,5.11a,1.0,50.0,39.985,-105.4413,11.1,G
COLA (Cost of Living Allowance).,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106840350/cola-cost-of-living-allowance,1.7,Sport,5.11-,1.0,35.0,39.985,-105.4413,11.15,G
Early Bird Special,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794887/early-bird-special,2.0,Sport,5.11-,1.0,50.0,39.985,-105.4413,11.15,G
Let the Daylight In,Retirement Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794890/let-the-daylight-in,2.5,Sport,5.12,1.0,60.0,39.985,-105.4413,12.0,G
Depends,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794569/depends,1.9,"Trad, Sport",5.7,1.0,60.0,39.9859,-105.4418,7.0,G
Grampa's Day Out,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105862674/grampas-day-out,1.3,Sport,5.9,1.0,60.0,39.9859,-105.4418,9.0,G
Sponge Bath,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794563/sponge-bath,1.8,"Trad, Sport",5.9+,1.0,60.0,39.9859,-105.4418,9.35,G
Sundowning,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105862679/sundowning,1.4,Sport,5.9+,1.0,60.0,39.9859,-105.4418,9.35,G
Devil in Disguise,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105887353/devil-in-disguise,1.6,Sport,5.9+,1.0,25.0,39.9859,-105.4418,9.35,G
Failure To Thrive,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106924734/failure-to-thrive,1.2,Sport,5.9+,1.0,40.0,39.9859,-105.4418,9.35,G
Hip Replacement,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105795241/hip-replacement,1.3,Sport,5.10+,1.0,50.0,39.9859,-105.4418,10.35,G
Digital Stimulation,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/107427809/digital-stimulation,2.0,"Trad, Sport",5.11a,1.0,50.0,39.9859,-105.4418,11.1,G
Angel of Mercy,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794555/angel-of-mercy,2.4,Sport,5.11a,1.0,40.0,39.9859,-105.4418,11.1,G
Aricept,Nursing Home > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105800492/aricept,1.3,Sport,5.11-,1.0,50.0,39.9859,-105.4418,11.15,G
Red Bull,Higher Energy Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105809883/red-bull,1.7,"Trad, Sport",5.11-,1.0,55.0,39.9911,-105.4168,11.15,G
Blood Whine,Higher Energy Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105811495/blood-whine,1.7,Sport,5.11,1.0,60.0,39.9911,-105.4168,11.0,G
Full Throttle,Higher Energy Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105812159/full-throttle,2.3,Sport,5.11+,1.0,40.0,39.9911,-105.4168,11.35,G
Practical Joke,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105763461/practical-joke,1.6,"Trad, Sport",5.8,1.0,70.0,40.0031,-105.3893,8.0,G
Comedy Works,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/108305126/comedy-works,1.9,Sport,5.11a,1.0,60.0,40.0031,-105.3893,11.1,G
The Far Side,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761748/the-far-side,1.2,Sport,5.11d,1.0,,40.0031,-105.3893,11.4,G
True Comedian,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761751/true-comedian,1.8,Sport,5.12b,1.0,,40.0031,-105.3893,12.2,G
Bust Out laughing,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/121477096/bust-out-laughing,1.0,Sport,5.12c,1.0,,40.0031,-105.3893,12.3,G
Tears of a Clown,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/114011333/tears-of-a-clown,3.0,Sport,5.12d,1.0,45.0,40.0031,-105.3893,12.4,G
Slapstick,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/121477110/slapstick,2.5,Sport,5.12d,1.0,,40.0031,-105.3893,12.4,G
Skyrunner,West Buttress aka Comedy Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/121929704/skyrunner,2.0,Sport,5.13b,1.0,20.0,40.0031,-105.3893,13.2,G
Eye Of The Storm,Dike Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758638/eye-of-the-storm,2.0,"Trad, Sport",5.10c R,2.0,,40.0024,-105.3878,10.3,R
Wild Cat,Dike Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761766/wild-cat,2.0,Sport,5.10d,1.0,70.0,40.0024,-105.3878,10.4,G
DivineBearcatKnee,Dike Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106861718/divinebearcatknee,3.3,"Trad, Sport",5.11d,3.0,250.0,40.0024,-105.3878,11.4,G
Bearcat Goes to Hollywood,Dike Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758332/bearcat-goes-to-hollywood,3.6,Sport,5.12a,2.0,100.0,40.0024,-105.3878,12.1,G
The Radlands of Infinity,Central Chimney Area > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758071/the-radlands-of-infinity,3.6,Sport,5.12d,2.0,,40.0024,-105.3878,12.4,G
Shimmer,Main Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748301/shimmer,1.7,Sport,5.9,1.0,,40.00283,-105.38896,9.0,G
Simmer,Main Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748304/simmer,1.6,Sport,5.9,1.0,,40.00283,-105.38896,9.0,G
P1 of Astrophysics (aka Bolt Cola),Main Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748310/p1-of-astrophysics-aka-bolt-cola,2.1,Sport,5.10a,1.0,,40.00283,-105.38896,10.1,G
Get Shorty,Main Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758922/get-shorty,1.7,"Trad, Sport",5.10b,1.0,100.0,40.00283,-105.38896,10.2,G
Cold Fusion,Main Wall > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758641/cold-fusion,1.9,"Trad, Sport",5.10c,1.0,40.0,40.00283,-105.38896,10.3,G
